ID,GovWin ID,NAME,Portfolio,Capture Lead,Business Unit,Include in Moneyball,Expected RFP Release,i3 Role,Stage,Prime Contractor,Total Value,Our Value,Win Probability,Must Win,Status,Actual RFP Release,Award Date,BD_Sales Lead,Competition Type,Complexity,Contract Type,Contract Vehicle,Contracts POC,Customer Type,Estimated Start Date,Modified By,Moneyball,NAICS,Opportunity Type,Primary Agency,Prime POC,Prime POC Email,Proposal or EWP Due,Proposals POC,RFI or IWP,TA completed,Submission Date,Estimated Completion Date,Contract Period Months,Weighted Value,Solicitation #,Solicitation Date,Technical POC,CPEG,Modified
"623","176890","KINETIC KILL HARDWARE IN THE LOOP SIMULATION TECHNOLOGY FOR ADVANCED RESEARCH (KHILS)(KSTAR)","TADSS","Rinna, Lee","HST","no","4/1/2022","TBD","NOBID","SAIC","$49,000,000.00","$1.00","10%","No","Engility/SAIC incumbent. 09 JUN - Meeting with Stephan Stidfole from Torch to discuss this opportunity.",,,,"F&O","Moderate","CPFF","STANDALONE",,"NB","9/1/2022","william.glover@i3-corps.com",,"541715",,"Air Force",,,"5/1/2022",,,"Planning",,"9/1/2027","60","$0",,,,"Grow","2023-04-28T14:44:42Z"
"624",,"DE M-SHORAD NET DEVELOPMENT","TADSS","Steeg, Ron","VTSG","no","8/24/2021","SUB","WON","Kord Technologies Inc","$1,494,000.00","$1,494,000.00","100%","Yes","We have an ATP from KORD.  Waiting for Government kickoff and funding","8/24/2021","5/19/2022",,"F&O",,"T&M",,,"RC","3/30/2022","william.glover@i3-corps.com",,"TBD","Organic","Army",,,"12/10/2021",,"5/5/2021","Planning","12/10/2021","10/20/2022","6","$1,494,000",,,,"Protect","2023-04-28T14:50:08Z"
"625","215846","DATA CENTER SUPPORT SERVICES (DCSS)","CREWS","King, David","ITCE","no","8/31/2027","PRIME","CAPTURE","i3","$307,202,000.00","$1.00","10%","No",,,,,"F&O",,,"STANDALONE",,"NB","2/1/2023","william.glover@i3-corps.com",,"541519",,"DHS",,,"8/31/2032",,"4/13/2027","Planning",,"12/1/2027","58","$0",,,,"Grow","2023-02-12T18:52:37Z"
"626","197314","Army COMBINED REGIONAL CYBER CENTERS IT SUPPORT SERVICES (NETCOM)","CREWS","McGee, Nathan","ITCE","no","1/3/2022","SUB","NOBID","TBD","$100,000,000.00","$1.00","10%","No","Reaching out to DirectViz to discuss teaming options. Will be on ITES3S",,,,"TBD",,,,,"NB","5/1/2022","william.glover@i3-corps.com",,"541519",,"Army",,,"2/7/2022",,,"Planning",,"5/1/2027","60","$0",,,,"Grow","2023-04-28T14:44:42Z"
"627","151619","DATA CENTER FACILITY OPERATIONS MANAGEMENT SUPPORT SERVICES FOR SHARED SERVICES CENTER","CREWS","TBD","ITCE",,"3/30/2027","TBD","IDENT","TBD","$116,646,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","11/30/2027","william.glover@i3-corps.com",,"541513",,"NASA",,,"4/30/2027",,,"Planning",,"11/30/2032","60","$0",,,,"Grow","2023-02-12T18:35:44Z"
"628","118597","USACE RESEARCH AND DEVELOPMENT SERVICES FOR THE INFORMATION TECHNOLOGY LABORATORY VICKSBURG (ITL) - HX5","CREWS","Hess, Matthew","ITCE","no","6/1/2023","SUB","NOBID","TBD","$95,000,000.00","$4,000,000.00","10%","No","Need to work the re-compete strategy with government (remove SDVSB - to just SB).   ",,,,"SBSA",,,"STANDALONE",,"NB","12/1/2023","william.glover@i3-corps.com",,"541712","Formal","Army",,,"7/1/2023",,,"Planning",,"12/1/2028","60","$400,000",,,,"Grow","2023-04-03T20:01:54Z"
"629","202664","Navy PMW 760 NEW SHIP CONSTRUCTION C4I INTEGRATION","CREWS","TBD","ITCE",,"7/1/2021","SUB","NOBID","TBD","$86,722,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","4/1/2022","william.glover@i3-corps.com",,"541330",,"Navy",,,"8/1/2021",,,"Planning",,"4/1/2027","60","$0",,,,"Grow","2023-04-28T14:44:43Z"
"630","202681","PROFESSIONAL SCIENTIFIC AND TECHNICAL SERVICES SATELLITE DOMAIN FOLLOW ON (PROTECH SATELLITE IDIQ) NOAA","CORP","Watts, Rick","CORP","no","11/18/2021","SUB","NOBID","Aerodyne","$229,028,000.00","$1.00","10%","No","Aerodyne no-bid this opp.
Updated stage accordingly.",,,"hannis.watts@i3-corps.com","SBSA","Moderate","CPFF","STANDALONE",,"NB","5/1/2022","william.glover@i3-corps.com",,"541715",,"DOC",,,"12/17/2021",,,"Planning",,"5/1/2027","60","$0",,,,"Grow","2023-06-05T15:49:20Z"
"631","156539","PM TN ENGINEERING AND TECHNICAL SUPPORT SERVICES","CREWS","TBD","ITCE",,"12/30/2024","PRIME","IDENT","i3","$124,565,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","8/30/2025","william.glover@i3-corps.com",,"541330",,"Army",,,"1/30/2025",,,"Planning",,"8/30/2030","60","$0",,,,"Grow","2023-02-12T18:35:44Z"
"632","151872","Project Manager Tactical Network Systems Engineering and Technical Assistance Non Personal Support Services","CREWS","King, David","ITCE",,"7/1/2023","PRIME","INACTIVE","i3","$176,507,000.00","$3,000,000.00","10%","No",,,,,"F&O",,,"TBD",,"NB","2/1/2024","william.glover@i3-corps.com",,"541330","Formal","Army",,,"8/1/2023",,,"Planning",,"2/1/2029","60","$300,000",,,,"Grow","2023-03-07T17:09:30Z"
"633","3144317","USSF Cross-Mission Ground and Communications Enterprise (SMC/ECX) Systems Engineering & Integration Services Market Research","ESI","TBD","SET","no","11/14/2021","SUB","NOBID","TBD","$1.00","$1.00","10%","No","Space Force has sent out an RFI for market research.",,,,"F&O",,,,,"NB","6/14/2022","william.glover@i3-corps.com",,"541330",,"Air Force",,,"12/14/2021",,"6/14/2021","Planning",,"6/14/2027","60","$0",,,,"Grow","2023-06-05T18:13:11Z"
"634","5840400","OASIS Pool 1 IFRCO (was CRAM)","ESI","Mitchell, Ben","SET","yes","2/5/2024","SUB","CAPTURE","TBD","$326,000,000.00","$1.00","20%","No","TA w/Axient is expired. Talking w/KBR about teaming. Growth opportunities on the table.",,,"hannis.watts@i3-corps.com","SBSA",,"CPFF","OASIS",,"NB","5/6/2024","ben.mitchell@i3-corps.com",,"541330","Formal","Army",,,"3/4/2024",,,"Planning",,"5/5/2029","59","$0",,,,"Expand","2023-06-28T22:10:31Z"
"635","5725693","Intelligence Training for the Academy for Defense Intelligence (ADI)","TADSS","Grady, Stephen","ITFS","no","9/30/2021","SUB","NOBID","Jacobs Technology Inc.","$72,692,000.00","$1.00","10%","No","5/31:  A six month extension was awarded on 3/23/22.  Current contract expires 7/30/22
Prior:  If they are training products, possible sub to Jacobs ",,,,"SBSA","Difficult",,,,"NB","7/30/2022","william.glover@i3-corps.com",,"611430",,"DOD",,,"10/30/2021",,,"Planning",,"7/29/2027","59","$0",,,,"Grow","2023-06-05T18:16:44Z"
"636","186740","Aviation Training Services and Operational Support (ATSOS)","TADSS","Grady, Stephen","ITFS","no","4/3/2023","SUB","CANCEL","GEBC","$90,000,000.00","$1.00","10%","No","12/7:  GEBC lunch and demo on 17JAN.  Expect RFP MAR23.
10/12:  Submitted Capability Matrix to GEBC.  Next step: Swim lane development 
9/22:  GEBC (SDVOSB) reached out to partner with us. Capability matrix being worked. 
We have demo'd to EAATS and they are using VTS.  
01/05:  Upcoming meeting with GEBC here at i3 HQ.
",,,,"SBSA",,,"STANDALONE",,"NB","9/1/2023","william.glover@i3-corps.com",,"611512","Formal","Army",,,"5/1/2023",,,"Planning",,"9/1/2028","60","$0",,,,"Grow","2023-06-28T14:07:09Z"
"637","184136","Intelligence Technical Support Services for USAREUR (ITSS)","TADSS","Grady, Stephen","ITFS","no","8/1/2023","SUB","NOBID","TBD","$78,796,000.00","$1.00","10%","No","We will sub only for training  ",,,,"F&O",,,"STANDALONE",,"NB","1/1/2024","william.glover@i3-corps.com",,"541990","Formal","Army",,,"9/1/2023",,,"Planning",,"1/1/2029","60","$0",,,,"Grow","2023-06-28T14:07:14Z"
"638","206288","TRADOC G2 Intelligence Surveillance Reconnaissance Mobile Advisory Team Support (ISRMAT)","ESI","TBD","ITFS","no","4/1/2022","SUB","NOBID","Jacobs Technology Inc.","$13,951,000.00","$1.00","10%","No","We will sub only for training",,,,"SBSA",,,,,"NB","8/1/2022","william.glover@i3-corps.com",,"541990",,"Army",,,"5/1/2022",,,"Planning",,"8/1/2027","60","$0",,,,"Grow","2023-06-05T15:50:38Z"
"639","2698576","Joint Tactical Autonomous Aerial Resupply System (JTAARS), Autonomous Aerial Resupply Concept, Industry Day Data Exchange","ESI","Grady, Stephen","ITFS","no","1/1/2022","TBD","CANCEL","TBD","$1.00","$1.00","10%","No","Will require teaming with a UAV/UAS platform company. Must be TRL 7 and capable of lifting 800 lbs.
Contacting KMAX, Aegis, Avion, Griffin Aero",,,,"TBD",,,,,"NB","3/1/2022","william.glover@i3-corps.com",,"336411",,"Army",,,"2/1/2022",,,"Planning",,"3/1/2027","60","$0",,,,"Create","2023-04-28T14:36:27Z"
"640","201164","Human Intelligence Support Team Validation Exercise (HUMINT) (HST) (VALEX)","ESI","TBD","ITFS","no","2/1/2026","TBD","CANCEL","TBD","$1.00","$1.00","10%","No",,,,,"SBSA",,,,,"NB","4/1/2026","william.glover@i3-corps.com",,"541990",,"Army",,,"3/1/2026",,,"Planning",,"4/1/2031","60","$0",,,,"Grow","2023-06-05T15:46:36Z"
"641","175908","Remotely Piloted Aircraft Training Support (RPATS)","TADSS","TBD","HST","no","8/1/2022","TBD","NOBID","TBD","$15,367,000.00","$1.00","0%","No","Areas of concern: 1. Service Disabled Veteran Owned Small Business 2. Previous contract mentions CBA",,,,"SBSA",,,,,"NB","12/1/2022","william.glover@i3-corps.com",,"611512",,"Air Force",,,"9/1/2022",,,"Planning",,"12/1/2027","60","$0",,,,"Grow","2023-06-05T15:32:07Z"
"643","174066","RESEARCH SUPPORT SERVICES FOR TELEMEDICINE AND ADVANCED TECHNOLOGY RESEARCH CENTER (TATRC)","ESI","TBD","AELS","no","3/10/2024","SUB","NOBID","TBD","$48,624,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","11/10/2024","william.glover@i3-corps.com",,"541713",,"Army",,,"4/10/2024",,,"Planning",,"11/10/2029","60","$0",,,,"Grow","2023-04-28T14:44:58Z"
"646","133824","NRL Onboard CM Systems Development & Integration - 5740","CREWS","Howard, Mike","NRL","yes","10/1/2023","PRIME","CAPTURE","i3","$100,000,000.00","$40,000,000.00","20%","No","NDAs and TAs in place or in work. Working to get more information from COR regarding potential contract vehicle change (i.e. potentially SeaPort).
",,,,"F&O",,"TASKORDER","STANDALONE",,"NB","1/1/2024","michael.howard@i3-corps.com",,,"Formal","Navy",,,"11/1/2023",,"3/1/2023","Planning",,"1/1/2029","60","$8,000,000",,,,"Grow","2023-06-29T00:31:00Z"
"647","178816","Engineering Services to Support Electromagnetic Special Programs and Advanced EW","CREWS","TBD","NRL","no","8/1/2022","SUB","CANCEL","TBD","$29,600,000.00","$1.00","1%","No","No updates.",,,,"F&O",,"TASKORDER","SEAPORTNXG",,"NB","4/1/2023","william.glover@i3-corps.com",,,,"Navy",,,"11/1/2022",,,"Planning",,"3/31/2028","59","$0",,,,"Protect","2023-04-28T14:36:32Z"
"648",,"CONVENTIONAL PROMPT STRIKE (ZPS) ZUMWALT 22","TADSS","Steeg, Ron","VTSG","no","6/9/2021","SUB","WON","LM Space Syst","$600,000.00","$600,000.00","100%","No","Funding received in July 22.  More funding expected NLT December 22.  
LM Space POC, Dr. Alfred Kelly. 
6.27.2023: Currently working un-definitized. Zepp  expecting word by end of month. ","6/30/2021","7/11/2022",,"F&O","Straightforward","T&M","Purchase Order",,"NB","7/11/2022","jeremy.reddoch@i3-corps.com",,,"Organic","Army",,,"7/25/2021",,"6/16/2021","Planning","7/25/2021","10/16/2024","27","$600,000",,,,"Expand","2023-06-27T15:12:09Z"
"651","5805678","Logistics Modernization Program, Program MAnagement Office Contractor Support","CREWS","TBD","ITCE",,"9/30/2021","SUB","NOBID","SAIC","$107,616,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","5/31/2022","william.glover@i3-corps.com",,"541611",,"Army",,,"10/31/2021",,,"Planning",,"5/31/2027","60","$0",,,,"Grow","2023-04-28T14:44:58Z"
"652","207097","Broad Agency Announcement Naval Air Warfare Center Aircraft Divsion NAWCAD Officewide","CREWS","TBD","ITCE","no","12/30/2023","PRIME","CAPTURE","TBD","$1.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","4/16/2024","william.glover@i3-corps.com",,"541715",,"Navy",,,"2/5/2024",,,"Planning",,"4/16/2028","48","$0",,,,"Create","2023-02-12T18:35:52Z"
"653","206966","Cyber Warfare Engineering Services For Naval Air Warfare Center Aircraft Division NAWCAD","CREWS","McGee, Nathan","ITCE","no","8/17/2022","PRIME","PROPSUB","i3","$243,962,745.00","$243,962,745.00","30%","No","Proposal submitted 10/10",,,"nathan.mcgee@i3-corps.com","SBSA","Difficult","CPFF","IDIQ (Single Award)",,"NB","3/20/2023","david.king@i3-corps.com",,"541715",,"Navy",,,"10/11/2022",,,"Yes","10/10/2022","3/20/2028","60","$73,188,824",,,,"Grow","2023-06-28T18:40:29Z"
"654","207433","COMPUTER BASED INSTRUCTIONAL DEVELOPMENT (CBID) III","Orlando","Grady, Stephen","VTSG","no","11/4/2022","SUB","PROPSUB","Weathered Oak","$60,000,000.00","$9,000,000.00","30%","No","Prime submitted the proposal on 2/13
GovWin estimates award and performance start date is 6/30/23","11/4/2022",,"andrew.duus@i3-corps.com","SBSA","Moderate","FFP","IDIQ (Single Award)","jennifer.stanley@i3-corps.com","NB","6/30/2023","matthew.bower@i3-corps.com",,"541519","Formal","Army","Rich Haggerty ","richard.haggerty@oakgrovetech.com","2/13/2023","rachel.paris@i3-corps.com","6/14/2021","Yes","2/13/2023","6/30/2028","60","$2,700,000","W900KK-23-R-0005","11/4/2022","tonalea.howell@i3-corps.com","Grow","2023-06-28T23:22:59Z"
"655","175848","SEWIP Block 3 Production and Engineering Services","CREWS","TBD","NRL","no","11/30/2022","SUB","NOBID","TBD","$516,317,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","7/30/2023","william.glover@i3-corps.com",,"334511",,"Navy",,,"12/30/2022",,,"Planning",,"7/30/2028","60","$0",,,,"Grow","2023-04-28T14:44:59Z"
"656","119898","Surface Electronic Warfare Improvement Program Block 2 FY16 FY20 Full Rate Production (SEWIP)","CREWS","TBD","NRL","no","7/1/2022","SUB","NOBID","TBD","$177,201,000.00","$1.00","10%","No",,,,,"F&O",,,,,"NB","3/1/2023","william.glover@i3-corps.com",,"334511",,"Navy",,,"8/1/2022",,,"Planning",,"3/1/2028","60","$0",,,,"Grow","2023-04-28T14:44:59Z"
"657","207383","DITAC Network Infrastructure","CREWS","King, David","ITCE","no","9/18/2026","SUB","NOBID","Virtual Computing Technology, Inc.","$40,000,000.00","$1.00","20%","No",,,,,"SBSA","Moderate","CPFF","SEAPORTNXG",,"NB","3/31/2022","william.glover@i3-corps.com",,"541330",,"Navy",,,"3/31/2023",,,"Planning",,"3/31/2027","60","$0",,,,"Grow","2023-06-05T15:51:54Z"
"658",,"Corrosion Prevention and Control Efforts (2021T-13)","ESI","Mitchell, Ben","SET","no","10/15/2021","PRIME","LOST","i3","$16,812,532.00","$16,812,532.00","40%","No","Loss notification received late February 2022.
",,,"hannis.watts@i3-corps.com","F&O","Moderate","T&M","EXPRESS",,"NB","2/28/2022","william.glover@i3-corps.com",,"541715",,"Army",,,"11/15/2021",,"5/6/2021","Planning","11/15/2021","2/28/2027","60","$6,725,013",,,,"Expand","2023-04-28T14:41:10Z"
"659","171583","DEVELOPMENT FABRICATION PROTOTYPING","ESI","Mitchell, Ben","SET","no","2/1/2025","PRIME","INACTIVE","i3","$100,000,000.00","$100,000,000.00","10%","No","Identified.",,,,"F&O",,,"STANDALONE",,"NB","5/1/2025","william.glover@i3-corps.com",,"541715","Formal","Army",,,"3/1/2025",,,"Planning",,"5/1/2030","60","$10,000,000",,,,"Grow","2023-06-05T15:30:17Z"
"660",,"B21 RAIDER CHALLENGE- STRIKE BLACK JACK TRAINING","TADSS","Rehome, Paul","VTSG","no","6/30/2021","SUB","INACTIVE","Northrop Grumman Systems","$3,500,000.00","$3,250,000.00","10%","No","1/30/23: No response to RFI from 2021, inactive until further notice.

Submitted.  (4.8 new FTE's)","6/30/2021","2/1/2023",,"F&O","Moderate","T&M","OTA",,"NB","2/13/2023","ronald.steeg@i3-corps.com",,,"Formal","Air Force",,,"7/14/2021",,"6/7/2021","Planning","7/14/2021","2/12/2024","11","$325,000",,,,"Expand","2023-01-30T20:33:34Z"
"661",,"USAF SECURITY FORCES DEFENDER VIRTUAL TRAINING","TADSS","Rehome, Paul","VTSG","no","7/15/2023","SUB","CANCEL","SAIC","$1,300,000.00","$1,300,000.00","30%","No","5/8/23: No movement on this opportunity; moving to CANCEL
9/28/22: Andy to contact Lt Col Christopher Thomas, Air Force Security Forces Center Det 3 CDR 29SEP.  
9/20/22: POC (Brandon King) changed jobs.  Dawn Adams identifying new POC.  Awaiting syllabus rewrite as well.  
8/1/22: Gov't is re-assessing requirement - Timeline is TBD.   Possible $1.3M for Harris Radio and personnel weapons training app.   Lackland school house is requesting funds from Group leadership.  i3 VTSG meeting late Feb with Group",,"6/23/2023",,"F&O","Moderate","T&M","S3I HWIL and M&S Development",,"NB","2/1/2024","tonalea.howell@i3-corps.com",,,"Organic","Air Force",,,"8/15/2023",,,"Planning",,"2/1/2029","60","$390,000",,,,"Expand","2023-05-08T15:55:57Z"
"662",,"GA-ASI MQ9 VART / VMT","TADSS","Rehome, Paul","VTSG","no","12/14/2021","PRIME","LOST","General Atomics","$9,627,625.00","$9,400,400.00","1%","No","Submitted awaiting response","12/14/2021","6/1/2022",,"F&O","Moderate","T&M","Purchase Order",,"NB","5/10/2022","william.glover@i3-corps.com",,,,"Air Force",,,"3/10/2022",,"6/9/2021","Planning","3/9/2022","5/10/2024","24","$94,004",,,,"Grow","2023-04-28T14:41:07Z"
"663",,"AVLE AMOC ","TADSS","Kingsborough, Adam","VTSG","no","6/28/2021","SUB","LOST","ACLC, LLC","$550,000.00","$500,000.00","75%","No","Submitted as Sub. (1.2 new FTE's)","6/16/2021","10/4/2021",,"F&O","Moderate","T&M",,,"RC","10/13/2021","william.glover@i3-corps.com",,,"Formal","Army",,,"7/16/2021",,"6/24/2021","Planning","7/16/2021","11/17/2022","13","$375,000",,,,"Grow","2023-04-28T14:31:14Z"
"664","147776","Soldier Virtual Trainer (SVT)","Orlando","Grady, Stephen","ITFS","no","7/1/2022","PRIME","LOST","i3","$63,000,000.00","$1.00","10%","No","Awarded to ByLight (Cole Eng) and CAE",,"6/30/2022",,"F&O",,,"OTA",,"NB","2/1/2023","william.glover@i3-corps.com",,"541715",,"Army",,,"8/1/2022",,,"No","8/1/2022","6/1/2026","40","$0",,,,"Grow","2023-04-28T14:40:47Z"
"665","201955","WARFIGHTER TRAINING READINESS SOLUTIONS (WARFIGHTER TRS)","Orlando","Grady, Stephen","HST","yes","9/1/2023","SUB","CAPTURE","V2X (Vertex/Vectrus)","$4,000,000,000.00","$1.00","10%","No","12/6:  Teaming Agreement expanded i3 swim lanes. Bidders library posted
10/22:  Refining swim lanes with V2X. Expect TA review in next couple weeks.
- TA w/ V2X in place
- Work = UMS, TADDS Maint ",,,,"F&O",,,"STANDALONE","jennifer.stanley@i3-corps.com","NB","6/1/2024","william.glover@i3-corps.com",,"541330","Formal","Army","David Hahn ","david.hahn@raytheon.com","10/1/2023","rachel.paris@i3-corps.com",,"Planning",,"6/1/2034","120","$0","PANORL23P000000WTRS",,"doug.brockhard@i3-corps.com","Grow","2023-06-05T15:47:23Z"
"666",,"AH-64E NETT for Netherlands/Czech Republic","TADSS","Grady, Stephen","ITFS","no","9/1/2021","SUB","NOBID","Digiflight","$1.00","$1.00","0%","No","Meeting with Digiflight the first week of Aug. Direct award from STRI...pain points?",,,,"Sole Source",,,,,"NB","9/1/2021","william.glover@i3-corps.com",,,,"Army",,,"9/1/2021",,,"Planning",,"9/1/2024","36","$0",,,,"Create","2023-04-28T14:45:05Z"
"667","199730","ENTERPRISE TRAINING SERVICES CONTRACT (ETSC)","Orlando","Grady, Stephen","ITFS","no","10/1/2025","PRIME","CANCEL","i3","$888,000,000.00","$1.00","10%","No","8/11/22:  Contract extended 3 years. 
Being extended for current FMS work but not likely to be recompeted",,,,"F&O",,"FFP","IDIQ (Multiple Award)",,"NB","6/1/2026","tonalea.howell@i3-corps.com",,"541990","Formal","Army",,,"3/1/2026",,,"Planning",,"6/1/2031","60","$0",,,,"Grow","2023-03-28T18:31:41Z"
"668",,"Human Performance Optimization (SOCOM)","TADSS","Grady, Stephen","ITFS","no","1/28/2022","PRIME","NOBID","i3","$1.00","$1.00","10%","No","T3I initial document received.  ",,,,"TBD",,"CPFF",,,"NB","4/22/2022","william.glover@i3-corps.com",,,,"Army",,,"2/28/2022",,,"Planning",,"4/22/2027","60","$0",,,,"Create","2023-04-28T14:45:10Z"
"669",,"SAMD Non-Standard Missile Technical 2020T-13 (EXPRESS)","ESI","Watts, Rick","AELS","no","5/10/2022","SUB","WON","Torch Technologies, Inc.","$22,000,000.00","$1.00","90%","No","Torch sub if F&O.",,"2/24/2023","hannis.watts@i3-corps.com","F&O","Straightforward","T&M","EXPRESS",,"RC","2/22/2023","hannis.watts@i3-corps.com",,"541330","Formal","Army","Torch","Molly.Terrell@torchtechnologies.com","6/9/2022","rachel.paris@i3-corps.com","4/12/2022","Yes","6/9/2022","2/22/2028","60","$1","2020T-13",,"tracy.leslie@i3-corps.com","Protect","2023-04-07T16:54:08Z"
"670",,"AMTC-21-03 PEO MS, IFMC, AIR DEFENSE SKILLS TRAINER (AST)","TADSS","Steeg, Ron","VTSG","no","8/1/2022","PRIME","LOST","i3","$9,600,000.00","$9,600,000.00","0%","No","DEC2021:  Demo with MG Rasch, COL Lunoff, COL Rottenborn, COL Tate, CW5 Jackson on 16 Dec.   MG Rasch said they will get back together after holidays to discuss go forward.
APR2022:  Notified that i3 was rated as acceptable and placed in the basket. 
JUN2022:  1) After inquiry with Milissa Taylor, KO, informed that the ""basket"" is still a preliminary stage and ""still working and no able to discuss"" 2) Demo to Carl Stoops, Kim Vaughn and Matt Spielman from IFMC office within PEO MS. 
",,"9/12/2022",,"F&O",,"T&M","OTA",,"NB","11/1/2022","william.glover@i3-corps.com",,,,"Army",,,"9/1/2022",,"7/29/2021","Planning",,"11/1/2025","36","$0",,,,"Create","2023-04-28T14:41:17Z"
"671",,"PEO Aviation - Unified Comms Implementation - ITES-3S RFI","CREWS","King, David","ITCE","no","3/30/2022","SUB","NOBID","TBD","$1.00","$1.00","35%","No","JV off-ramping ITES-3S in early 2022.  changed Role to sub and Prime to TBD.",,,,"SBSA",,,"ITES-3S",,"NB","6/30/2022","william.glover@i3-corps.com",,,,"Army",,,"4/30/2022",,,"Planning",,"6/30/2027","60","$0",,,,"Create","2023-04-28T14:45:13Z"
"672",,"Land Based Anti-Ship Missile (LBASM)","ESI","Mitchell, Ben","SET","no","6/1/2023","SUB","INACTIVE","PER","$15,000,000.00","$2,000,000.00","25%","No","David Bittle trudging through AMTC process. 
Waiting for funding so it can get pulled out of the basket for formal pricing and PWS submissions.",,,,"F&O","Straightforward","CPFF","OTA",,"NB","12/19/2023","william.glover@i3-corps.com",,,"Formal","Army",,,"7/1/2023",,,"Planning",,"12/19/2028","60","$500,000",,,,"Grow","2023-05-02T15:24:50Z"
"673","183288","COMBAT AIR FORCES DISTRIBUTED MISSIONS OPERATIONS (CAF DMO)","TADSS","Rinna, Lee","HST","no","8/1/2023","SUB","NOBID","Northrop Grumman Systems","$490,000,000.00","$1.00","1%","No","Early Identify stage. Still unpacking all the details. We have the P2 working with CAF DMO and currently have our own DMO network setup at the JSIL for testing and exercise preparation purposes. We also have our Wright-Pat MJAT contacts to help guide us. ",,"5/1/2024",,"F&O","Difficult",,"STANDALONE",,"NB","7/1/2024","doug.brockhard@i3-corps.com",,"541511","Formal","Air Force",,,"10/1/2023",,,"Planning",,"6/30/2033","107","$0",,,,"Grow","2023-06-15T22:38:38Z"
"674","5800503","AvMC TDD / WDI Follow-on (OASIS Pool 4)","ESI","Gilliam, Jason","SET","yes","1/18/2023","PRIME","PROPSUB","i3","$205,155,774.00","$205,155,774.00","40%","No","Awaiting Decision. Potential prep for subcontract execution.","1/12/2023",,"hannis.watts@i3-corps.com","SBSA","Moderate","T&M","OASIS","Kendra.Bradley@i3-corps.com","NB","8/14/2023","ben.mitchell@i3-corps.com",,"541715","Formal","Army",,,"4/13/2023","katie.elich@i3-corps.com","2/16/2022","Yes","4/13/2023","8/14/2028","60","$82,062,310","FOPR 008200",,"jason.gilliam@i3-corps.com","Grow","2023-06-28T22:11:39Z"
"675","3135788","Surface Electronic Warfare Embarkable Prototype System (EPS) Development","CREWS","Howard, Mike","NRL","no","8/4/2021","SUB","WON","L3Harris","$1.00","$300,000.00","100%","No","Effort has been awarded to L3Harris (sole source Prime).","8/4/2021",,,"Sole Source","Straightforward","CPFF","STANDALONE",,"NB","10/15/2021","william.glover@i3-corps.com",,"541715",,"Navy",,,"9/4/2021",,"4/29/2021","Planning",,"4/15/2023","18","$300,000",,,,"Expand","2023-04-28T14:51:47Z"
"676","180809","ENTERPRISE APPLICATIONS SERVICE TECHNOLOGIES 3 (EAST 3)","TADSS","Vaughn, Jake","HST","no","3/1/2023","SUB","NOBID","SAIC","$710,000,000.00","$1.00","1%","No","Rick is reaching out to SAIC (Joel) and getting the proper POC - awaiting feedback.  Coming out on ALLIANT 2 on or about 08/2022",,,,"F&O","Moderate","CPFF","STANDALONE",,"NB","6/15/2024","william.glover@i3-corps.com",,"541512",,"NASA",,,"4/1/2023",,,"Planning",,"6/24/2028","48","$0",,,,"Grow","2023-04-28T14:45:54Z"
"677","118661","INSTRUMENTABLE MULTIPLE INTEGRATED LASER ENGAGEMENT SYSTEM VEHICLE TACTICAL ENGAGEMENT SIMULATION SYSTEM (I-MILES)(VTESS)","TADSS","Vaughn, Jake","HST","no","10/1/2023","SUB","NOBID","TBD","$288,000,000.00","$1.00","0%","No","Qualifying - BD/Sales team helping find the proper LM POC to engage with.",,,,"F&O","Moderate","T&M","STANDALONE",,"NB","4/1/2024","william.glover@i3-corps.com",,"333318",,"Army",,,"11/1/2023",,,"Planning",,"4/1/2031","84","$0",,,,"Grow","2023-04-28T14:45:55Z"
"678","190779","AUTOMATED TESTING SYSTEM TESTING DIAGNOSTICS AND NETCENTRIC SUPPORT","TADSS","Vaughn, Jake","HST","no","1/1/2023","SUB","NOBID","TBD","$218,000,000.00","$1.00","1%","No","Qualifying - BD/Sales team identifying the POCs at Total Technology, PDSI, Logisys  
Work is in Picatinny Arsenal, NJ ",,,,"SBSA","Moderate","CPFF","IDIQ (Multiple Award)",,"NB","5/1/2023","william.glover@i3-corps.com",,"541330","Formal","Army",,,"2/15/2023",,,"Planning",,"5/1/2028","60","$0",,,,"Grow","2023-06-05T15:38:24Z"
"679","186178","CLOSE COMBAT TACTICAL TRAINER POST DEPLOYMENT SOFTWARE SUPPORT (CCTT)(PDSS)","TADSS","Vaughn, Jake","HST","no","12/5/2022","SUB","CANCEL","TBD","$50,000,000.00","$1.00","1%","No","Qualifying - Matt Zepp is reaching to Applied Visual Technology.  Update from Zepp?",,,,"SBSA",,"T&M","STANDALONE",,"NB","3/15/2023","william.glover@i3-corps.com",,"541330","Formal","Army",,,"3/15/2023",,,"Planning",,"3/15/2028","60","$0",,,,"Grow","2023-04-28T14:36:38Z"
